record_id,timestamp,category,subcategory,city,device,channel,age,score,amount,is_member,note
43,2024/9/12 16:34,B,X3,Sapporo,mobile,social,19,55.74,1102,FALSE,bold_sensor
44,2024/5/9 9:38,A,X2,Kobe,desktop,organic,73,46.03,3446,FALSE,fuzzy_bridge
45,2024/1/25 18:58,C,X4,Osaka,mobile,organic,76,28.45,684,FALSE,quick_fox
46,2024/12/20 7:18,B,X4,Osaka,mobile,referral,63,34.18,2100,TRUE,fuzzy_robot
47,2024/6/11 16:13,A,X4,Osaka,mobile,referral,31,36.13,2421,FALSE,silent_dataset
48,2024/11/21 23:44,D,X4,Tokyo,mobile,organic,57,63.39,451,FALSE,calm_bridge
49,2024/9/4 10:34,B,X2,Tokyo,tablet,ads,71,68.19,4719,FALSE,silent_sensor
50,2024/10/11 2:38,B,X3,Osaka,mobile,referral,67,74.59,3854,FALSE,bold_bridge
51,2024/10/4 8:43,A,X1,Osaka,mobile,ads,41,26.16,3072,FALSE,silent_bridge
52,2024/3/12 1:02,B,X3,Nagoya,desktop,organic,60,29.49,730,TRUE,silent_bridge
53,2024/5/12 19:49,B,X1,Fukuoka,tablet,organic,38,28.47,1199,FALSE,quick_sensor
54,2024/6/19 8:28,B,X3,Tokyo,desktop,ads,30,69.33,4175,FALSE,calm_bridge
55,2024/6/30 16:39,A,X4,Tokyo,desktop,social,,56.26,2084,FALSE,fuzzy_bridge
56,2024/1/16 23:43,D,X3,Tokyo,tablet,ads,44,51.2,1769,FALSE,quick_fox
57,2024/7/18 11:56,E,X4,Tokyo,desktop,organic,28,53.44,5064,TRUE,quick_robot
58,2024/2/26 7:34,C,X1,Nagoya,tablet,social,57,49.15,2354,FALSE,silent_tunnel
59,2024/9/28 7:58,C,X4,Fukuoka,mobile,organic,34,33.18,793,FALSE,bright_fox
60,2024/9/6 7:30,E,X3,Fukuoka,desktop,ads,52,57.7,4138,FALSE,quick_sensor
61,2024/12/2 17:20,E,X3,Nagoya,desktop,organic,37,47.21,697,FALSE,bright_bridge
62,2024/9/28 20:06,C,X4,Osaka,tablet,referral,72,32,2098,FALSE,silent_dataset
63,2024/5/13 19:47,E,X3,,mobile,referral,69,58.61,2610,FALSE,calm_robot
64,2024/12/19 3:23,E,X2,Osaka,desktop,email,,43.61,3541,TRUE,bright_fox
65,2024/5/29 23:02,D,X3,Tokyo,mobile,organic,60,53.41,546,FALSE,quick_sensor
66,2024/4/28 22:13,C,X3,Fukuoka,desktop,ads,24,48.13,162,FALSE,silent_sensor
67,2024/11/26 12:29,A,X4,Osaka,mobile,organic,79,63.37,172,FALSE,bold_bridge
68,2024/5/15 5:13,A,X2,Tokyo,desktop,social,27,53.3,5505,FALSE,quick_fox
69,2024/1/28 20:45,C,X3,Tokyo,desktop,organic,71,,453,TRUE,quick_dataset
70,2024/6/20 9:18,C,X3,Tokyo,mobile,referral,69,54.83,6484,TRUE,quick_sensor
71,2024/10/17 10:09,B,X1,Kobe,mobile,referral,24,55.32,4455,FALSE,quick_tunnel
72,2024/3/10 3:46,C,X1,Tokyo,mobile,organic,13,57.67,931,FALSE,calm_robot
73,2024/6/17 23:21,C,X1,Tokyo,desktop,organic,62,65.54,254,FALSE,calm_bridge
74,2024/2/17 10:06,D,X3,Tokyo,desktop,organic,71,40.76,2224,TRUE,bold_bridge
75,2024/9/7 13:32,A,X2,Fukuoka,desktop,ads,60,60.02,1367,FALSE,quick_sensor
76,2024/6/22 15:10,A,X4,Osaka,mobile,social,16,24.13,5122,FALSE,bold_fox
77,2024/4/30 12:31,D,X3,Nagoya,desktop,ads,56,48.2,2591,TRUE,bold_fox
78,2024/3/23 19:43,D,X1,Osaka,desktop,social,39,45.88,2117,FALSE,bold_sensor
79,2024/7/25 1:01,E,X1,Tokyo,mobile,organic,74,71.72,1777,FALSE,bold_sensor
80,2024/9/1 11:34,E,X2,Fukuoka,mobile,organic,,47.65,3534,FALSE,bold_sensor
81,2024/12/9 5:04,E,X4,Tokyo,mobile,social,66,59.12,1967,FALSE,bright_bridge
82,2024/6/8 13:27,B,X1,Tokyo,mobile,social,40,23.57,7363,FALSE,quick_dataset
83,2024/2/28 15:37,B,X1,Nagoya,mobile,organic,34,44.72,435,TRUE,bold_robot
84,2024/10/30 22:15,B,X1,Tokyo,mobile,referral,68,37.3,1626,TRUE,calm_tunnel
85,2024/8/17 20:44,C,X2,Tokyo,mobile,social,20,87.13,3177,TRUE,fuzzy_bridge
86,2024/9/12 14:19,E,X4,Fukuoka,mobile,email,19,40,2880,FALSE,bright_sensor
87,2024/2/5 11:42,B,X3,Osaka,mobile,referral,17,51.1,7349,FALSE,calm_sensor
88,2024/4/24 0:19,C,X2,Tokyo,desktop,organic,47,51.9,1120,FALSE,bright_bridge
89,2024/10/7 6:18,B,X1,Tokyo,mobile,organic,18,26.16,68,FALSE,bright_robot
90,2024/10/30 18:35,A,X2,Sapporo,mobile,referral,52,42.11,4216,FALSE,calm_dataset
91,2024/6/7 20:29,A,X3,Tokyo,desktop,ads,24,56.07,2499,TRUE,calm_fox
92,2024/10/20 17:44,A,X2,Tokyo,mobile,organic,72,51.29,4242,TRUE,silent_bridge
93,2024/11/3 5:13,E,X3,Nagoya,mobile,organic,41,15.49,2776,FALSE,silent_sensor
94,2024/5/21 10:18,B,X4,Nagoya,mobile,organic,19,41.5,131,FALSE,silent_tunnel
95,2024/11/23 19:14,D,X1,Kobe,mobile,ads,59,65.31,2909,FALSE,quick_robot
96,2024/4/15 5:45,D,X2,Osaka,desktop,organic,35,58.82,1112,FALSE,calm_dataset
97,2024/3/28 10:31,A,X1,Tokyo,mobile,organic,30,68.27,1627,FALSE,calm_fox
98,2024/9/6 2:39,A,X3,Nagoya,mobile,organic,57,35.22,1915,TRUE,fuzzy_tunnel
99,2024/8/20 10:02,D,X2,Nagoya,desktop,social,77,69.21,696,FALSE,bold_dataset
100,2024/2/21 0:13,B,X2,Tokyo,tablet,referral,78,49.33,1078,FALSE,bright_fox
101,2024/10/30 22:46,E,X1,Nagoya,mobile,organic,42,73.88,3709,FALSE,calm_sensor
102,2024/3/13 23:11,A,X1,Tokyo,mobile,ads,69,50.05,3705,TRUE,calm_tunnel
103,2024/10/20 18:54,D,X2,Fukuoka,mobile,ads,27,19.29,379,FALSE,bold_fox
104,2024/1/3 16:29,D,X3,Fukuoka,desktop,referral,69,62.74,2520,TRUE,calm_sensor
105,2024/10/17 20:20,A,X1,Osaka,desktop,referral,76,43.35,4001,TRUE,quick_dataset
106,2024/10/14 5:27,B,X1,Kobe,desktop,referral,47,44.36,2328,FALSE,calm_fox
107,2024/10/11 19:59,E,X2,Kobe,mobile,referral,48,28.2,2632,FALSE,bright_robot
108,2024/8/30 16:05,B,X3,Tokyo,mobile,organic,50,74.33,413,FALSE,silent_sensor
109,2024/6/21 2:55,B,X2,,desktop,organic,17,42.18,4987,TRUE,calm_tunnel
110,2024/9/14 9:14,B,X2,Nagoya,mobile,organic,70,73.63,760,TRUE,calm_fox
111,2024/4/11 3:35,B,X1,,tablet,ads,62,43.53,1558,FALSE,quick_sensor
112,2024/10/11 23:11,D,X3,Osaka,mobile,ads,71,36.08,4028,FALSE,fuzzy_tunnel
113,2024/7/21 19:28,D,X4,Tokyo,mobile,referral,,69.79,6221,FALSE,calm_bridge
114,2024/6/16 12:06,B,X4,Kobe,mobile,organic,66,48.9,1667,TRUE,bold_bridge
115,2024/7/3 13:06,D,X3,Osaka,mobile,referral,37,49.05,8596,FALSE,bright_tunnel
116,2024/7/26 14:10,A,X3,Sapporo,desktop,organic,67,30.78,2392,TRUE,quick_sensor
117,2024/1/14 14:25,A,X2,Osaka,mobile,organic,79,43.14,2188,TRUE,bright_fox
118,2024/2/21 0:37,C,X1,Tokyo,desktop,referral,71,56.43,872,FALSE,fuzzy_robot
119,2024/3/30 14:24,E,X2,Fukuoka,desktop,organic,74,30.51,1586,TRUE,calm_dataset
120,2024/2/11 19:17,A,X3,Tokyo,desktop,organic,20,41.91,2555,FALSE,silent_tunnel
121,2024/6/9 11:00,A,X3,Tokyo,desktop,organic,35,43.69,3208,FALSE,silent_robot
122,2024/8/31 23:12,C,X4,Osaka,tablet,referral,32,51,3099,FALSE,calm_tunnel
123,2024/8/26 20:47,D,X4,Sapporo,desktop,organic,47,72.19,1448,FALSE,calm_sensor
124,2024/6/20 22:48,A,X1,Tokyo,mobile,social,78,45.5,5471,FALSE,fuzzy_bridge
125,2024/11/8 2:30,B,X1,Tokyo,desktop,social,58,39.64,2245,FALSE,bright_fox
126,2024/7/25 7:28,D,X2,Tokyo,tablet,email,49,91.2,2132,FALSE,fuzzy_dataset
127,2024/1/29 21:46,B,X4,Tokyo,mobile,organic,66,43.5,815,FALSE,quick_dataset
128,2024/10/6 5:23,A,X4,Tokyo,desktop,referral,24,47.14,3450,FALSE,silent_dataset
129,2024/7/28 17:30,A,X1,Nagoya,mobile,organic,57,44.63,2037,FALSE,fuzzy_tunnel
130,2024/8/19 16:07,B,X1,Tokyo,desktop,social,46,45.85,1686,TRUE,bright_dataset
131,2024/7/25 8:40,C,X3,Tokyo,mobile,ads,26,51.17,582,TRUE,silent_tunnel
132,2024/7/21 1:21,E,X3,Nagoya,desktop,organic,,63.81,608,FALSE,fuzzy_tunnel
133,2024/2/3 1:21,C,X4,,mobile,organic,69,56.06,2761,FALSE,fuzzy_sensor
134,2024/7/23 2:39,D,X4,Tokyo,desktop,email,68,66.16,6030,TRUE,bold_robot
135,2024/10/17 3:26,E,X1,Tokyo,mobile,social,69,65.66,1795,FALSE,fuzzy_fox
136,2024/4/20 22:36,B,X1,Tokyo,desktop,ads,67,53.13,1785,TRUE,fuzzy_robot
137,2024/8/8 0:51,B,X3,Kobe,mobile,ads,44,55.64,3481,FALSE,fuzzy_sensor
138,2024/1/12 5:57,E,X3,Tokyo,desktop,email,16,66.63,4863,FALSE,quick_robot
139,2024/5/6 20:05,A,X4,Tokyo,mobile,email,77,33.33,1335,FALSE,bright_tunnel
140,2024/6/8 9:38,D,X3,Osaka,mobile,email,43,87.47,828,FALSE,bright_dataset
141,2024/12/24 16:47,D,X3,Tokyo,mobile,organic,55,42.31,1993,TRUE,fuzzy_robot
142,2024/3/19 7:45,A,X2,Tokyo,tablet,referral,14,44.74,3067,FALSE,silent_sensor
143,2024/4/10 22:33,C,X1,Tokyo,mobile,social,72,31.82,173,FALSE,bold_fox
144,2024/5/29 2:42,A,X4,Nagoya,desktop,organic,72,32.27,1498,TRUE,fuzzy_bridge
145,2024/12/28 7:45,A,X4,Nagoya,mobile,organic,75,64.61,1835,TRUE,silent_sensor
146,2024/11/7 11:48,C,X1,Nagoya,desktop,organic,24,84.05,1644,FALSE,bright_tunnel
147,2024/1/13 15:54,B,X3,Sapporo,mobile,ads,69,41.49,525,TRUE,bold_tunnel
148,2024/3/26 9:18,D,X2,Tokyo,mobile,email,54,55.21,1503,FALSE,quick_fox
149,2024/10/26 21:52,E,X2,Kobe,mobile,organic,22,53.3,1859,FALSE,bright_tunnel
150,2024/1/22 6:43,D,X4,Sapporo,mobile,ads,51,65,960,TRUE,silent_fox
151,2024/11/8 7:40,B,X4,Fukuoka,mobile,organic,44,83.28,2569,FALSE,silent_bridge
152,2024/4/12 16:55,B,X1,Sapporo,mobile,social,54,72.81,3856,FALSE,fuzzy_dataset
153,2024/11/30 22:37,B,X2,Osaka,mobile,email,18,46.42,3956,FALSE,silent_dataset
154,2024/4/17 3:52,A,X4,Tokyo,tablet,ads,,57.93,1180,FALSE,fuzzy_bridge
155,2024/6/7 12:36,E,X4,Osaka,mobile,referral,58,59.42,3024,TRUE,bright_robot
156,2024/8/29 14:23,B,X1,,tablet,organic,60,49.7,2840,FALSE,quick_tunnel
157,2024/2/16 2:13,A,X4,Osaka,mobile,email,64,33.56,6948,TRUE,calm_fox
158,2024/7/22 7:36,D,X2,Tokyo,mobile,referral,54,38.02,3035,FALSE,fuzzy_robot
159,2024/7/3 7:56,B,X3,Tokyo,mobile,organic,59,67.22,3171,FALSE,silent_dataset
160,2024/10/13 2:56,A,X1,Kobe,mobile,social,19,68.77,4413,TRUE,fuzzy_robot
161,2024/12/29 13:53,A,X3,Sapporo,mobile,organic,66,46.89,668,FALSE,calm_tunnel
162,2024/8/30 11:23,C,X3,Nagoya,desktop,referral,37,53.92,2199,FALSE,quick_tunnel
163,2024/5/29 8:28,D,X3,Tokyo,desktop,organic,49,67.96,6287,FALSE,calm_dataset
164,2024/5/28 7:56,A,X4,Nagoya,desktop,referral,49,24.44,6375,FALSE,quick_sensor
165,2024/6/1 13:19,E,X4,Fukuoka,mobile,organic,,43.3,1503,TRUE,calm_dataset
166,2024/10/24 2:49,E,X4,Nagoya,mobile,organic,34,80.27,6172,TRUE,bright_dataset
167,2024/4/27 5:50,D,X3,Nagoya,desktop,ads,38,54.49,1692,TRUE,silent_dataset
168,2024/3/1 22:40,A,X4,Osaka,mobile,social,63,33.06,2639,FALSE,bold_robot
169,2024/5/2 0:23,A,X3,Tokyo,mobile,organic,55,51.76,438,FALSE,quick_bridge
170,2024/1/9 6:57,E,X3,Sapporo,mobile,referral,34,65.32,5300,FALSE,quick_fox
171,2024/2/8 17:48,B,X3,Kobe,mobile,ads,36,11.8,1624,FALSE,bright_robot
172,2024/2/2 20:49,C,X4,Osaka,desktop,email,68,52.64,543,FALSE,calm_fox
173,2024/10/8 14:47,D,X1,Osaka,mobile,organic,69,44.41,1896,TRUE,silent_dataset
174,2024/9/20 15:52,A,X3,Osaka,mobile,ads,22,25.37,113,TRUE,fuzzy_bridge
175,2024/9/11 7:42,D,X2,Osaka,tablet,social,39,51.23,3372,FALSE,bright_sensor
176,2024/6/17 14:02,E,X4,Kobe,tablet,organic,64,47.95,4643,TRUE,bold_bridge
177,2024/9/18 17:25,D,X1,Sapporo,mobile,ads,20,49.64,852,FALSE,calm_sensor
178,2024/2/28 20:44,B,X3,Osaka,mobile,social,25,44.78,823,TRUE,calm_dataset
179,2024/11/24 17:26,E,X1,Osaka,desktop,organic,23,34.68,3198,FALSE,silent_tunnel
180,2024/7/1 21:09,C,X4,Osaka,mobile,organic,48,28.18,3484,FALSE,silent_sensor
181,2024/12/8 9:19,D,X4,Tokyo,mobile,organic,43,39.64,1229,FALSE,calm_fox
182,2024/2/25 14:15,D,X1,Osaka,mobile,email,34,62.89,964,FALSE,fuzzy_fox
183,2024/6/30 12:36,D,X4,Fukuoka,mobile,social,22,53.5,4085,FALSE,silent_bridge
184,2024/9/11 3:45,B,X2,Nagoya,tablet,referral,55,48.96,487,TRUE,bright_fox
185,2024/6/29 21:40,A,X4,Tokyo,desktop,referral,67,34.4,1434,FALSE,silent_robot
186,2024/6/11 20:19,A,X3,Sapporo,tablet,organic,27,44.39,942,TRUE,quick_fox
187,2024/3/1 16:02,C,X1,Sapporo,desktop,organic,57,61.06,3163,TRUE,bright_bridge
188,2024/5/19 1:44,C,X1,Tokyo,desktop,organic,66,57.57,1012,FALSE,bold_fox
189,2024/3/28 3:35,C,X2,Nagoya,desktop,organic,50,42.84,4471,TRUE,fuzzy_robot
190,2024/4/20 1:14,B,X1,Nagoya,desktop,organic,51,10.83,1388,TRUE,quick_tunnel
191,2024/9/6 13:13,D,X1,Fukuoka,mobile,referral,,39.88,2763,FALSE,quick_fox
192,2024/8/18 1:16,E,X4,Tokyo,mobile,organic,77,42.76,1029,FALSE,calm_robot
193,2024/8/9 15:02,A,X4,Tokyo,mobile,organic,77,36.39,2387,FALSE,bold_bridge
194,2024/5/12 1:28,D,X2,Osaka,mobile,organic,60,43.8,1150,TRUE,bold_fox
195,2024/12/16 6:54,D,X1,Tokyo,mobile,organic,73,62.25,779,FALSE,calm_robot
196,2024/2/1 23:48,C,X1,Osaka,mobile,organic,53,49.44,3469,FALSE,fuzzy_bridge
197,2024/5/5 1:05,A,X4,Fukuoka,desktop,organic,57,64.85,1003,FALSE,bright_fox
198,2024/2/13 1:43,D,X2,Tokyo,mobile,organic,68,27.37,1020,TRUE,fuzzy_dataset
199,2024/5/3 17:08,E,X1,Osaka,mobile,ads,15,45.42,2231,FALSE,fuzzy_robot
200,2024/12/17 2:13,D,X2,,mobile,email,27,20.91,2533,FALSE,calm_robot
201,2024/5/13 16:28,E,X2,Osaka,mobile,social,26,43.6,751,TRUE,fuzzy_dataset
202,2024/11/27 15:10,E,X3,Osaka,tablet,email,55,34.32,2981,TRUE,quick_robot
203,2024/6/29 16:46,B,X2,Nagoya,mobile,referral,29,69.22,1080,FALSE,fuzzy_bridge
204,2024/9/12 9:26,C,X4,Tokyo,mobile,social,39,56.15,575,TRUE,bold_fox
205,2024/6/15 22:58,C,X3,Tokyo,mobile,ads,46,65.22,1603,TRUE,calm_dataset
206,2024/4/7 1:01,E,X4,Nagoya,desktop,referral,62,43.56,1583,FALSE,silent_fox
207,2024/10/5 22:39,A,X2,Osaka,desktop,ads,47,34.7,2804,TRUE,calm_fox
208,2024/12/19 17:59,B,X3,Tokyo,mobile,organic,14,34.23,7123,TRUE,quick_bridge
209,2024/4/6 4:28,E,X2,Tokyo,mobile,organic,59,53.98,2201,FALSE,bold_dataset
210,2024/10/11 5:51,B,X3,Fukuoka,desktop,organic,41,77.15,3090,FALSE,silent_dataset
211,2024/4/5 7:35,D,X3,Tokyo,tablet,email,20,56.19,424,FALSE,quick_robot
212,2024/9/18 15:57,B,X2,Sapporo,mobile,organic,56,44.38,4617,TRUE,silent_fox
213,2024/10/14 23:41,E,X4,Osaka,mobile,referral,31,47.17,1822,TRUE,fuzzy_tunnel
214,2024/6/13 0:24,E,X4,,mobile,social,,49.53,626,FALSE,silent_bridge
215,2024/9/25 23:24,B,X4,Tokyo,mobile,ads,77,80.4,4496,FALSE,fuzzy_dataset
216,2024/4/9 8:50,D,X1,Tokyo,desktop,organic,28,68.5,1885,FALSE,bold_fox
217,2024/1/29 22:15,B,X3,,tablet,ads,72,53.9,3996,TRUE,calm_tunnel
218,2024/2/5 4:23,C,X1,Sapporo,tablet,organic,44,51.65,7643,TRUE,fuzzy_dataset
219,2024/6/12 3:55,D,X1,Tokyo,desktop,social,75,54.49,477,TRUE,fuzzy_robot
220,2024/11/25 10:47,D,X4,Osaka,mobile,referral,69,57.41,1040,FALSE,calm_fox
221,2024/2/16 13:34,A,X1,Osaka,tablet,referral,68,43.8,3509,FALSE,quick_tunnel
222,2024/6/15 8:36,A,X4,Tokyo,mobile,ads,26,37.34,1987,TRUE,bold_fox
223,2024/9/13 23:19,D,X2,Nagoya,mobile,referral,65,65.48,131,FALSE,calm_dataset
224,2024/3/14 20:42,C,X2,Tokyo,desktop,referral,37,50.33,1460,FALSE,bold_sensor
225,2024/9/20 9:21,C,X1,Osaka,mobile,organic,73,64.23,1662,FALSE,calm_robot
226,2024/4/21 16:10,A,X3,Tokyo,desktop,,79,74.69,1887,FALSE,calm_fox
227,2024/10/22 3:52,B,X3,Osaka,tablet,organic,53,57.81,1006,TRUE,fuzzy_sensor
228,2024/7/30 9:57,E,X2,Tokyo,desktop,,74,55.38,5437,FALSE,bold_fox
229,2024/7/18 14:54,A,X4,Osaka,desktop,social,48,98,425,TRUE,bright_tunnel
230,2024/3/5 12:31,B,X2,Osaka,mobile,referral,15,53.11,2655,TRUE,quick_dataset
231,2024/6/18 1:41,E,X3,Kobe,mobile,ads,71,33.64,1241,TRUE,quick_bridge
232,2024/11/8 15:56,A,X2,Osaka,desktop,social,48,45.78,1164,FALSE,silent_tunnel
233,2024/1/8 3:01,D,X3,Fukuoka,desktop,organic,15,73.28,4950,TRUE,bold_bridge
234,2024/10/3 20:37,B,X1,Tokyo,tablet,organic,17,30.59,1590,FALSE,bright_dataset
235,2024/6/28 20:35,E,X2,Osaka,mobile,social,61,38.71,2667,FALSE,bold_fox
236,2024/9/19 14:29,D,X3,,mobile,social,74,66.6,3679,FALSE,silent_fox
237,2024/8/30 2:29,E,X3,Osaka,mobile,referral,59,45.93,2059,FALSE,bold_dataset
238,2024/6/6 17:08,A,X2,Nagoya,desktop,organic,42,48.35,4998,FALSE,calm_robot
239,2024/4/22 15:55,C,X3,Fukuoka,desktop,social,33,66.1,562,FALSE,silent_tunnel
240,2024/8/16 23:13,D,X3,Nagoya,tablet,email,41,39.25,2789,FALSE,fuzzy_dataset
241,2024/2/21 4:21,A,X2,Nagoya,mobile,referral,34,27.97,7174,FALSE,fuzzy_tunnel
242,2024/8/1 4:41,A,X1,Tokyo,mobile,organic,31,29.17,2616,FALSE,calm_robot
243,2024/2/4 13:31,A,X3,Tokyo,mobile,ads,21,58.73,322,TRUE,bright_tunnel
244,2024/8/25 4:39,E,X4,Fukuoka,mobile,email,51,53.89,2862,FALSE,bright_dataset
245,2024/8/17 11:48,D,X4,Tokyo,mobile,social,27,39.61,5589,FALSE,bold_tunnel
246,2024/1/31 19:43,C,X3,Tokyo,desktop,ads,22,32.62,1476,FALSE,calm_sensor
247,2024/10/3 11:35,D,X4,,mobile,ads,31,45.94,1461,FALSE,quick_fox
248,2024/5/31 18:28,C,X4,Kobe,mobile,referral,66,66.75,3407,TRUE,quick_tunnel
249,2024/10/14 5:07,C,X3,Nagoya,desktop,ads,51,37.46,2973,FALSE,calm_robot
250,2024/1/16 4:32,B,X1,Osaka,desktop,ads,45,40.06,2119,FALSE,bright_bridge
251,2024/3/6 12:02,C,X3,Fukuoka,mobile,organic,52,32.14,1072,FALSE,fuzzy_bridge
252,2024/6/29 7:21,A,X3,Tokyo,mobile,organic,50,44.49,1344,FALSE,calm_robot
253,2024/3/9 16:51,E,X2,Osaka,desktop,email,46,55.07,804,FALSE,bright_sensor
254,2024/4/30 9:35,D,X4,Osaka,desktop,organic,69,81.73,281,TRUE,bright_bridge
255,2024/8/29 2:50,B,X4,Kobe,desktop,organic,61,53.27,4620,FALSE,calm_tunnel
256,2024/2/22 18:01,C,X2,Kobe,mobile,social,25,49.19,3542,TRUE,bold_dataset
257,2024/9/4 8:40,A,X2,Nagoya,mobile,referral,67,62.94,3292,FALSE,bold_dataset
258,2024/2/7 17:48,E,X1,Tokyo,tablet,organic,24,60.44,3247,TRUE,bright_bridge
259,2024/3/4 22:37,E,X1,Osaka,mobile,organic,18,41.34,1706,TRUE,bold_dataset
260,2024/8/2 11:45,E,X2,Tokyo,mobile,email,41,84.53,1524,FALSE,bold_sensor
261,2024/10/16 14:54,B,X2,Fukuoka,tablet,ads,39,49.63,632,TRUE,calm_fox
262,2024/3/3 6:23,A,X2,Tokyo,mobile,ads,65,53.55,3757,FALSE,fuzzy_bridge
263,2024/4/19 11:56,A,X1,Tokyo,desktop,ads,59,58.27,10069,FALSE,calm_dataset
264,2024/12/3 16:03,A,X2,Sapporo,desktop,organic,16,55.19,2772,TRUE,bold_dataset
265,2024/12/27 5:37,A,X3,Osaka,mobile,referral,46,72.88,4147,FALSE,bold_tunnel
266,2024/7/31 2:05,A,X2,Fukuoka,desktop,organic,66,41.15,4158,TRUE,fuzzy_bridge
267,2024/6/12 4:03,E,X3,Tokyo,mobile,ads,62,61.75,5840,FALSE,bright_sensor
268,2024/5/6 14:34,A,X2,Fukuoka,desktop,organic,46,52.47,949,FALSE,fuzzy_sensor
269,2024/8/11 13:04,A,X3,Tokyo,tablet,organic,54,64.74,433,FALSE,calm_tunnel
270,2024/8/3 16:25,D,X3,Tokyo,desktop,organic,50,46.78,2368,TRUE,fuzzy_sensor
